cdate,hit_counter,visit_counter
2018-06-13,3,1
2018-06-12,4,1
2018-06-10,2,1
2018-06-09,6,2
2018-06-08,5,3
2018-06-07,16,2
2018-06-06,4,1
2018-05-29,14,2
2018-05-28,4,1
2018-05-27,12,2
2018-05-23,15,3
2018-05-22,21,1
2018-05-21,3,1
2018-05-19,29,3
2018-05-17,11,2
2018-05-16,4,2
2018-05-15,3,2
2018-05-13,9,3
2018-05-11,2,1
2018-05-09,4,3
2018-05-07,37,2
2018-05-03,3,1
2018-05-01,4,1
2018-04-30,13,2
2018-04-29,15,3
2018-04-28,42,4
2018-04-26,4,1
2018-04-25,1,1
2018-04-23,13,4
2018-04-22,9,1
2018-04-21,40,2
2018-04-19,16,3
2018-04-18,6,1
2018-04-16,23,4
2018-04-11,23,3
2018-04-09,11,3
2018-04-08,2,1
2018-04-07,5,1
2018-04-06,2,1
2018-04-05,19,3
2018-04-03,2,1
2018-04-02,47,3
2018-04-01,7,1
2018-03-31,1,1
2018-03-30,5,1
2018-03-28,2,1
2018-03-27,5,2
2018-03-26,21,2
2018-03-25,17,3
2018-03-24,7,3
2018-03-23,24,2
2018-03-21,6,2
2018-03-19,8,2
2018-03-18,5,2
2018-03-17,22,1
2018-03-16,19,4
2018-03-15,124,3
2018-03-14,31,4
2018-03-12,49,7
2018-03-10,17,2
2018-03-09,3,1
2018-03-08,4,1
2018-03-07,72,6
2018-03-06,47,3
2018-03-05,59,3
2018-03-04,9,2
2018-03-03,9,3
2018-03-02,1,1
2018-03-01,55,6
2018-02-28,36,6
2018-02-27,13,5
2018-02-26,19,3
2018-02-25,44,5
2018-02-23,5,3
2018-02-22,5,2
2018-02-21,8,2
2018-02-20,5,2
2018-02-19,152,8
2018-02-18,24,4
2018-02-17,41,6
2018-02-15,1,1
2018-02-14,2,1
2018-02-13,5,2
2018-02-12,24,2
2018-02-11,12,3
2018-02-10,10,2
2018-02-09,74,8
2018-02-08,4,1
2018-02-07,1,1
2018-02-06,7,4
2018-02-05,15,3
2018-02-04,5,4
2018-02-02,10,3
2018-02-01,14,3
2018-01-31,5,2
2018-01-30,4,2
2018-01-29,29,5
2018-01-28,20,1
2018-01-27,9,1
2018-01-26,7,3
2018-01-25,4,1
2018-01-24,22,6
2018-01-22,24,5
2018-01-21,59,3
2018-01-20,2,1
2018-01-19,6,2
2018-01-18,1,1
2018-01-17,29,2
2018-01-16,6,1
2018-01-15,26,2
2018-01-14,4,2
2018-01-13,21,3
2018-01-12,5,4
2018-01-11,2,2
2018-01-10,13,1
2018-01-09,34,4
2018-01-08,43,5
2018-01-07,39,7
2018-01-06,11,2
2018-01-05,15,3
2018-01-04,50,2
2018-01-03,5,2
2018-01-02,6,1
2017-12-31,8,2
2017-12-30,4,2
2017-12-29,2,1
2017-12-27,20,2
2017-12-26,2,1
2017-12-25,4,2
2017-12-23,26,2
2017-12-22,3,2
2017-12-21,6,2
2017-12-20,65,7
2017-12-19,15,1
2017-12-18,40,4
2017-12-17,19,7
2017-12-16,24,2
2017-12-15,1,1
2017-12-13,60,6
2017-12-12,36,2
2017-12-11,26,5
2017-12-10,61,6
2017-12-09,8,4
2017-12-08,52,8
2017-12-07,38,7
2017-12-06,126,4
2017-12-05,15,3
2017-12-04,4,3
2017-12-03,3,2
2017-12-02,40,5
2017-12-01,6,3
2017-11-30,14,2
2017-11-29,30,4
2017-11-28,168,6
2017-11-27,40,5
2017-11-26,37,6
2017-11-25,1,1
2017-11-24,133,5
2017-11-23,162,10
2017-11-22,42,7
2017-11-21,70,7
2017-11-20,339,26
2017-11-19,455,38
2017-11-18,347,35
2017-11-17,311,30
2017-11-16,204,18
2017-11-15,127,14
2017-11-14,11,3
2017-11-13,7,3
2017-11-12,36,7
2017-11-11,63,5
2017-11-10,82,7
2017-11-09,29,3
2017-11-08,8,3
2017-11-07,6,2
2017-11-06,2,1
2017-11-05,42,3
2017-11-04,9,1
2017-11-03,52,2
2017-11-02,9,3
2017-11-01,53,5
2017-10-31,28,4
2017-10-30,8,2
2017-10-29,9,2
2017-10-28,11,2
2017-10-27,6,2
2017-10-25,30,4
2017-10-24,7,2
2017-10-23,22,3
2017-10-22,3,1
2017-10-20,43,3
2017-10-19,7,3
2017-10-18,1,1
2017-10-17,7,2
2017-10-16,7,1
2017-10-15,75,4
2017-10-14,4,2
2017-10-13,7,2
2017-10-12,10,1
2017-10-11,9,2
2017-10-10,18,3
2017-10-09,36,4
2017-10-08,2,2
2017-10-07,31,2
2017-10-06,5,2
2017-10-05,39,3
2017-10-03,7,3
2017-10-02,35,5
2017-10-01,2,1
2017-09-30,3,1
2017-09-29,113,8
2017-09-28,16,6
2017-09-27,202,9
2017-09-26,370,13
2017-09-25,25,3
2017-09-24,52,5
2017-09-22,12,3
2017-09-21,13,3
2017-09-20,11,3
2017-09-19,16,2
2017-09-18,97,3
2017-09-17,4,1
2017-09-15,17,3
2017-09-12,29,1
2017-09-11,6,1
2017-09-09,15,2
2017-09-08,54,3
2017-09-07,14,2
2017-09-05,1,1
2017-09-04,2,1
2017-09-02,1,1
2017-08-31,1,1
2017-08-30,6,3
2017-08-29,24,5
2017-08-26,6,2
2017-08-24,2,1
2017-08-23,2,1
2017-08-21,25,2
2017-08-18,1,1
2017-08-17,16,4
2017-08-16,3,1
2017-08-15,3,1
2017-08-14,4,1
2017-08-13,1,1
2017-08-12,63,2
2017-08-11,3,1
2017-08-08,6,1
2017-08-07,7,1
2017-08-05,12,1
2017-08-01,52,2
2017-07-31,31,4
2017-07-30,14,2
2017-07-28,1,1
2017-07-27,1,1
2017-07-25,5,1
2017-07-24,7,2
2017-07-23,7,1
2017-07-21,2,2
2017-07-20,16,2
2017-07-18,3,1
2017-07-17,6,3
2017-07-16,8,1
2017-07-14,42,1
2017-07-11,21,2
2017-07-10,18,2
2017-07-09,29,3
2017-07-08,6,3
2017-07-06,18,2
2017-07-05,1,1
2017-07-04,1,1
2017-07-03,13,2
2017-07-02,8,2
2017-07-01,21,2
2017-06-30,6,3
2017-06-29,18,3
2017-06-28,159,11
2017-06-27,130,13
2017-06-26,261,10
2017-06-24,6,2
2017-06-23,22,3
2017-06-21,3,2
2017-06-20,5,1
2017-06-19,21,1
2017-06-18,11,1
2017-06-17,18,1
2017-06-16,8,2
2017-06-15,13,1
2017-06-14,11,2
2017-06-13,2,1
2017-06-12,8,2
2017-06-11,43,2
2017-06-10,1,1
2017-06-09,1,1
2017-06-08,37,5
2017-06-06,5,1
2017-06-05,2,1
2017-06-03,1,1
2017-06-02,54,4
2017-06-01,4,3
2017-05-31,4,2
2017-05-30,12,1
2017-05-29,23,4
2017-05-28,2,1
2017-05-26,2,2
2017-05-22,18,2
2017-05-21,5,2
2017-05-20,10,1
2017-05-19,1,1
2017-05-18,1,1
2017-05-16,30,3
2017-05-15,4,1
2017-05-13,1,1
2017-05-11,4,2
2017-05-10,23,3
2017-05-09,13,2
2017-05-08,7,3
2017-05-07,2,2
2017-05-06,42,5
2017-05-05,1,1
2017-05-03,2,2
2017-05-02,37,5
2017-05-01,5,1
2017-04-29,8,3
2017-04-28,7,3
2017-04-27,12,5
2017-04-26,2,2
2017-04-25,5,4
2017-04-24,13,4
2017-04-23,11,4
2017-04-22,2,1
2017-04-21,11,4
2017-04-20,4,3
2017-04-19,4,3
2017-04-18,5,2
2017-04-17,28,4
2017-04-16,26,5
2017-04-15,4,0
2017-04-14,18,4
2017-04-13,43,5
2017-04-12,25,2
2017-04-11,19,2
2017-04-10,108,7
2017-04-09,30,4
2017-04-08,42,5
2017-04-07,29,5
2017-04-06,47,3
2017-04-05,10,4
2017-04-04,9,5
2017-04-03,2,2
2017-04-02,20,2
2017-04-01,26,2
2017-03-31,9,3
2017-03-30,3,2
2017-03-29,13,5
2017-03-28,45,3
2017-03-27,2,2
2017-03-25,1,1
2017-03-24,12,6
2017-03-23,3,3
2017-03-22,4,3
2017-03-21,58,5
2017-03-20,2,2
2017-03-19,7,4
2017-03-18,7,3
2017-03-17,4,3
2017-03-16,2,2
2017-03-15,5,4
2017-03-14,2,2
2017-03-13,17,4
2017-03-12,44,3
2017-03-11,24,4
2017-03-10,17,5
2017-03-09,6,4
2017-03-08,5,3
2017-03-07,4,4
2017-03-06,5,2
2017-03-05,49,5
2017-03-04,1,1
2017-03-03,4,2
2017-03-02,2,2
2017-03-01,39,7
2017-02-28,12,7
2017-02-27,19,4
2017-02-26,12,4
2017-02-24,6,3
2017-02-23,3,3
2017-02-22,13,5
2017-02-21,5,3
2017-02-20,31,2
2017-02-19,16,5
2017-02-18,9,4
2017-02-17,24,8
2017-02-16,3,2
2017-02-15,25,1
2017-02-14,26,7
2017-02-13,38,4
2017-02-12,3,2
2017-02-11,11,1
2017-02-10,40,4
2017-02-09,47,3
2017-02-08,6,3
2017-02-07,10,4
2017-02-06,64,2
2017-02-05,5,2
2017-02-04,17,3
2017-02-03,4,3
2017-02-02,4,2
2017-02-01,2,2
2017-01-31,5,4
2017-01-30,21,6
2017-01-29,19,1
2017-01-28,12,4
2017-01-27,1,1
2017-01-26,24,4
2017-01-25,31,3
2017-01-24,7,5
2017-01-23,22,7
2017-01-22,12,5
2017-01-21,19,6
2017-01-20,4,4
2017-01-19,4,4
2017-01-18,54,5
2017-01-17,29,4
2017-01-16,38,8
2017-01-15,7,4
2017-01-14,25,8
2017-01-13,10,6
2017-01-12,22,7
2017-01-11,20,4
2017-01-10,6,4
2017-01-09,51,5
2017-01-08,3,2
2017-01-07,53,6
2017-01-06,6,6
2017-01-05,25,10
2017-01-04,28,5
2017-01-03,19,4
2017-01-02,8,5
2017-01-01,15,3
2016-12-31,19,6
2016-12-30,12,2
2016-12-29,33,3
2016-12-28,65,10
2016-12-27,73,5
2016-12-26,14,6
2016-12-25,23,5
2016-12-24,54,6
2016-12-23,138,8
2016-12-22,8,5
2016-12-21,2,2
2016-12-20,51,9
2016-12-19,36,8
2016-12-18,20,10
2016-12-17,63,9
2016-12-16,65,7
2016-12-15,7,7
2016-12-14,13,4
2016-12-13,64,8
2016-12-12,77,9
2016-12-11,51,9
2016-12-10,38,9
2016-12-09,100,8
2016-12-08,71,15
2016-12-07,343,15
2016-12-06,92,8
2016-12-05,96,13
2016-12-04,285,27
2016-12-03,128,21
2016-12-02,186,19
2016-12-01,229,15
2016-11-30,124,16
2016-11-29,223,16
2016-11-28,178,19
2016-11-27,280,27
2016-11-26,116,7
2016-11-25,170,15
2016-11-24,63,11
2016-11-23,153,11
2016-11-22,150,12
2016-11-21,332,33
2016-11-20,506,47
2016-11-19,346,27
2016-11-18,232,16
2016-11-17,254,18
2016-11-16,154,23
2016-11-15,52,6
2016-11-14,79,9
2016-11-13,109,12
2016-11-12,69,9
2016-11-11,3,2
2016-11-10,5,2
2016-11-08,19,4
2016-11-07,7,3
2016-11-06,87,12
2016-11-05,49,2
2016-11-04,12,2
2016-11-02,16,4
2016-11-01,63,5
2016-10-31,8,4
2016-10-30,56,5
2016-10-28,31,5
2016-10-27,7,2
2016-10-26,4,3
2016-10-25,4,2
2016-10-24,18,4
2016-10-23,27,5
2016-10-22,4,2
2016-10-21,9,3
2016-10-20,30,7
2016-10-19,14,4
2016-10-18,100,14
2016-10-17,6,4
2016-10-16,2,1
2016-10-15,17,5
2016-10-14,38,2
2016-10-13,13,2
2016-10-12,35,4
2016-10-11,18,6
2016-10-10,82,7
2016-10-09,87,5
2016-10-08,31,1
2016-10-07,10,3
2016-10-06,2,1
2016-10-05,5,2
2016-10-04,96,7
2016-10-03,3,3
2016-10-02,7,2
2016-10-01,6,2
2016-09-30,3,2
2016-09-29,8,2
2016-09-28,37,1
2016-09-27,1,1
2016-09-26,22,2
2016-09-25,1,1
2016-09-24,32,5
2016-09-23,3,2
2016-09-22,10,4
2016-09-21,6,4
2016-09-19,41,3
2016-09-18,40,5
2016-09-17,9,3
2016-09-15,2,2
2016-09-14,2,1
2016-09-12,1,1
2016-09-09,2,1
2016-09-08,31,3
2016-09-07,10,1
2016-09-06,1,1
2016-09-05,10,3
2016-09-03,1,1
2016-09-02,68,2
2016-09-01,27,2
2016-08-31,3,1
2016-08-30,23,2
2016-08-29,5,2
2016-08-28,12,3
2016-08-27,1,1
2016-08-26,3,2
2016-08-25,11,2
2016-08-24,10,2
2016-08-23,4,2
2016-08-22,6,2
2016-08-21,1,1
2016-08-20,2,2
2016-08-19,1,1
2016-08-17,6,2
2016-08-14,13,2
2016-08-13,73,3
2016-08-12,5,3
2016-08-11,4,2
2016-08-10,15,2
2016-08-09,1,1
2016-08-08,15,2
2016-08-07,16,2
2016-08-06,8,4
2016-08-05,37,2
2016-08-04,5,2
2016-08-02,1,1
2016-07-31,11,4
2016-07-30,1,1
2016-07-29,3,2
2016-07-28,3,2
2016-07-27,2,2
2016-07-26,4,2
2016-07-25,4,3
2016-07-24,34,5
2016-07-21,1,1
2016-07-20,33,6
2016-07-19,11,4
2016-07-18,24,3
2016-07-17,6,1
2016-07-16,1,1
2016-07-14,2,2
2016-07-11,43,3
2016-07-10,10,1
2016-07-09,9,5
2016-07-08,38,4
2016-07-07,27,1
2016-07-06,6,3
2016-07-05,104,15
2016-07-04,26,6
2016-07-03,1,1
2016-07-02,10,2
2016-07-01,78,4
2016-06-30,8,1
2016-06-29,3,1
2016-06-28,3,1
2016-06-27,3,1
2016-06-26,50,2
2016-06-25,29,5
2016-06-24,57,4
2016-06-23,17,4
2016-06-22,4,2
2016-06-21,37,3
2016-06-20,4,3
2016-06-19,4,2
2016-06-16,2,1
2016-06-15,19,1
2016-06-14,10,3
2016-01-01,7,2
2016-01-02,32,4
2016-01-03,62,8
2016-01-04,23,4
2016-01-05,30,8
2016-01-06,14,4
2016-01-07,38,5
2016-01-08,12,2
2016-01-09,46,1
2016-01-10,18,4
2016-01-11,52,7
2016-01-12,23,4
2016-01-13,75,9
2016-01-14,99,8
2016-01-15,97,5
2016-01-16,3,1
2016-01-17,81,7
2016-01-19,31,5
2016-01-20,75,7
2016-01-21,10,3
2016-01-22,2,2
2016-01-23,9,3
2016-01-24,17,2
2016-01-25,42,4
2016-01-26,17,4
2016-01-27,2,1
2016-01-28,15,2
2016-01-29,7,2
2016-01-30,12,4
2016-01-31,45,2
2016-02-01,2,2
2016-02-02,47,5
2016-02-03,30,3
2016-02-04,12,3
2016-02-05,9,2
2016-02-06,6,3
2016-02-07,19,6
2016-02-08,4,2
2016-02-09,32,5
2016-02-10,41,8
2016-02-11,33,3
2016-02-12,20,3
2016-02-13,21,4
2016-02-14,28,3
2016-02-15,17,4
2016-02-16,3,2
2016-02-17,12,3
2016-02-18,4,3
2016-02-20,3,3
2016-02-21,9,4
2016-02-22,5,3
2016-02-23,8,1
2016-02-25,34,4
2016-02-26,11,1
2016-02-27,13,1
2016-02-28,7,1
2016-03-01,38,4
2016-03-02,5,4
2016-03-03,11,2
2016-03-04,67,3
2016-03-05,11,3
2016-03-06,36,4
2016-03-07,10,2
2016-03-08,4,2
2016-03-09,11,2
2016-03-11,18,3
2016-03-12,4,2
2016-03-13,9,2
2016-03-15,6,4
2016-03-16,1,1
2016-03-18,1,1
2016-03-19,3,1
2016-03-20,5,2
2016-03-21,13,3
2016-03-23,6,3
2016-03-24,7,2
2016-03-25,59,3
2016-03-26,2,1
2016-03-27,79,2
2016-03-29,8,1
2016-03-30,9,2
2016-03-31,1,1
2016-04-02,9,2
2016-04-03,19,1
2016-04-05,43,2
2016-04-07,59,2
2016-04-08,15,1
2016-04-09,19,2
2016-04-10,16,1
2016-04-13,25,3
2016-04-15,18,2
2016-04-16,16,2
2016-04-17,9,1
2016-04-18,20,3
2016-04-19,3,1
2016-04-20,10,1
2016-04-21,3,1
2016-04-25,6,1
2016-04-26,1,1
2016-04-28,8,1
2016-04-29,4,1
2016-04-30,25,3
2016-05-03,8,2
2016-05-04,1,1
2016-05-05,5,2
2016-05-06,9,1
2016-05-08,16,3
2016-05-10,2,2
2016-05-11,32,2
2016-05-12,20,2
2016-05-13,1,1
2016-05-14,21,3
2016-05-15,2,1
2016-05-16,6,2
2016-05-17,22,2
2016-05-18,41,3
2016-05-19,7,1
2016-05-20,5,1
2016-05-22,6,2
2016-05-23,1,1
2016-05-24,12,2
2016-05-25,27,5
2016-05-26,7,2
2016-05-27,19,3
2016-05-28,3,2
2016-05-30,8,5
2016-05-31,29,3
2016-06-01,18,2
2016-06-02,11,2
2016-06-03,29,2
2016-06-04,25,3
2016-06-05,25,3
2016-06-06,27,4
2016-06-07,4,1
2016-06-09,2,1
2016-06-11,10,1
2016-06-12,15,2
2016-06-13,19,3
2018-06-14,3,1
2018-06-16,2,1
2018-06-17,2,1
2018-06-20,35,1
2018-06-21,9,2
2018-06-23,20,2
2018-06-24,19,3
2018-06-25,61,13
2018-06-26,48,4
2018-06-27,8,4
2018-06-28,11,2
2018-06-29,8,2
2018-07-01,2,1
2018-07-02,12,2
2018-07-03,5,3
2018-07-04,2,2
2018-07-05,6,3
2018-07-06,2,1
2018-07-08,1,1
2018-07-09,1,1
2018-07-10,29,6
2018-07-11,7,2
2018-07-12,7,2
2018-07-13,1,1
2018-07-14,3,1
2018-07-15,29,1
2018-07-16,30,5
2018-07-17,7,2
2018-07-18,26,4
2018-07-19,1,1
2018-07-21,2,1
2018-07-22,1,1
2018-07-23,33,5
2018-07-24,25,6
2018-07-25,96,5
2018-07-26,67,10
2018-07-27,58,5
2018-07-28,6,1
2018-07-29,5,2
2018-07-30,17,1
2018-07-31,14,3
2018-08-01,5,1
2018-08-04,4,1
2018-08-05,20,5
2018-08-06,30,3
2018-08-07,2,1
2018-08-08,14,2
2018-08-10,13,3
2018-08-12,4,1
2018-08-14,4,1
2018-08-15,1,1
2018-08-16,2,1
2018-08-17,17,1
2018-08-18,2,1
2018-08-19,8,1
2018-08-20,12,2
2018-08-22,9,2
2018-08-25,37,3
2018-08-26,21,2
2018-08-27,3,1
2018-08-28,1,1
2018-09-02,10,2
2018-09-03,38,2
2018-09-04,5,1
2018-09-05,9,2
2018-09-08,17,1
2018-09-09,2,2
2018-09-10,19,2
2018-09-11,28,3
2018-09-13,1,1
2018-09-14,1,1
2018-09-15,1,1
2018-09-16,30,2
2018-09-17,40,1
2018-09-18,56,3
2018-09-19,3,1
2018-09-20,7,2
2018-09-21,12,1
2018-09-23,4,2
2018-09-25,16,5
2018-09-26,139,16
2018-09-27,54,10
2018-09-28,75,5
2018-09-29,97,8
2018-10-01,9,3
2018-10-03,6,1
2018-10-04,66,5
2018-10-06,6,2
2018-10-10,19,4
2018-10-11,15,1
2018-10-12,5,2
2018-10-13,5,1
2018-10-14,23,5
2018-10-15,8,2
2018-10-16,5,1
2018-10-17,14,1
2018-10-18,2,2
2018-10-19,35,8
2018-10-20,1,1
2018-10-21,17,3
2018-10-22,76,2
2018-10-24,15,4
2018-10-26,14,2
2018-10-27,13,2
2018-10-28,1,1
2018-10-29,9,1
2018-10-30,2,1
2018-11-01,32,7
2018-11-02,16,5
2018-11-03,20,2
2018-11-04,55,6
2018-11-05,36,8
2018-11-06,2,2
2018-11-07,2,1
2018-11-08,95,3
2018-11-09,7,1
2018-11-10,16,2
2018-11-11,57,9
2018-11-12,43,6
2018-11-13,66,10
2018-11-14,35,5
2018-11-15,81,6
2018-11-16,78,4
2018-11-17,86,10
2018-11-18,438,32
2018-11-19,257,24
2018-11-20,70,9
2018-11-21,86,5
2018-11-22,7,6
2018-11-23,115,15
2018-11-24,22,8
2018-11-25,45,5
2018-11-26,44,6
2018-11-27,34,4
2018-11-28,31,5
2018-11-29,21,2
2018-11-30,72,5
2018-12-01,7,3
2018-12-02,41,9
2018-12-03,54,4
2018-12-04,96,10
2018-12-05,73,6
2018-12-06,4,2
2018-12-07,3,2
2018-12-08,22,4
2018-12-09,91,8
2018-12-10,89,13
2018-12-11,54,11
2018-12-12,125,12
2018-12-13,113,12
2018-12-14,54,11
2018-12-15,125,11
2018-12-16,204,25
2018-12-17,94,14
2018-12-18,65,11
2018-12-19,87,10
2018-12-20,176,12
2018-12-21,54,10
2018-12-22,117,7
2018-12-23,41,4
2018-12-24,111,12
2018-12-25,29,8
2018-12-26,8,3
2018-12-27,44,10
2018-12-28,48,5
2018-12-29,33,11
2018-12-30,116,7
2019-01-01,55,4
2019-01-03,27,3
2019-01-04,36,7
2019-01-05,26,4
2019-01-06,38,7
2019-01-07,43,8
2019-01-08,10,4
2019-01-09,28,4
2019-01-10,7,2
2019-01-11,4,1
2019-01-12,14,2
2019-01-13,49,3
2019-01-14,34,3
2019-01-15,16,2
2019-01-16,13,3
2019-01-17,2,1
2019-01-19,7,4
2019-01-20,29,4
2019-01-21,1,1
2019-01-22,48,6
2019-01-26,54,3
2019-01-27,5,3
2019-01-28,11,3
2019-01-29,3,2
2019-01-30,46,3
2019-01-31,15,3
2019-02-01,14,5
2019-02-02,2,2
2019-02-03,64,5
2019-02-04,3,1
2019-02-05,18,2
2019-02-06,1,1
2019-02-07,84,6
2019-02-08,25,3
2019-02-10,19,6
2019-02-11,21,2
2019-02-12,7,3
2019-02-13,3,2
2019-02-14,5,2
2019-02-15,5,3
2019-02-16,1,1
2019-02-17,3,3
2019-02-18,14,1
2019-02-20,52,3
2019-02-21,1,1
2019-02-22,29,1
2019-02-23,13,2
2019-02-24,10,3
2019-02-25,3,1
2019-02-26,6,2
2019-03-01,35,4
2019-03-02,45,2
2019-03-03,86,4
2019-03-04,32,4
2019-03-06,54,4
2019-03-07,8,2
2019-03-08,24,4
2019-03-09,1,1
2019-03-10,29,3
2019-03-11,11,3
2019-03-12,49,6
2019-03-14,3,1
2019-03-16,48,2
2019-03-17,8,4
2019-03-18,6,3
2019-03-19,16,2
2019-03-20,9,4
2019-03-21,2,1
2019-03-22,55,6
2019-03-23,21,4
2019-03-24,18,2
2019-03-25,4,1
2019-03-27,5,4
2019-03-28,23,4
2019-03-29,6,3
2019-03-30,2,1
2019-03-31,10,2
2019-04-01,10,1
2019-04-02,4,1
2019-04-03,4,1
2019-04-05,6,2
2019-04-06,37,2
2019-04-07,2,1
2019-04-08,64,5
2019-04-09,18,3
2019-04-10,27,3
2019-04-11,18,2
2019-04-12,4,2
2019-04-13,15,2
2019-04-14,10,3
2019-04-16,5,2
2019-04-18,23,2
2019-04-19,59,7
2019-04-20,3,3
2019-04-21,1,1
2019-04-22,10,2
2019-04-23,34,5
2019-04-24,53,5
2019-04-25,4,1
2019-04-26,1,1
2019-04-27,44,3
2019-04-28,2,1
2019-04-29,8,2
2019-04-30,31,2
2019-05-01,9,5
2019-05-02,31,4
2019-05-03,6,1
2019-05-04,4,1
2019-05-06,23,3
2019-05-07,4,2
2019-05-08,32,2
2019-05-09,6,3
2019-05-11,15,2
2019-05-12,9,3
2019-05-13,2,1
2019-05-14,1,1
2019-05-15,4,1
2019-05-16,12,2
2019-05-17,1,1
2019-05-18,8,2
2019-05-19,4,2
2019-05-20,36,1
2019-05-21,2,1
2019-05-22,11,2
2019-05-26,15,3
2019-05-27,26,5
2019-05-28,20,3
2019-05-29,16,2
2019-05-30,44,3
2019-06-02,4,2
2019-06-03,21,3
2019-06-04,7,3
2019-06-05,4,1
2019-06-06,7,4
2019-06-07,1,1
2019-06-08,1,1
2019-06-09,56,7
2019-06-11,3,1
2019-06-14,12,1
2019-06-15,24,5
2019-06-17,19,1
2019-06-19,15,1
2019-06-21,1,1
2019-06-22,3,1
2019-06-25,5,1
2019-06-27,5,1
2019-06-28,5,2
2019-06-29,3,2
2019-07-01,3,1
2019-07-03,3,2
2019-07-04,42,3
2019-07-05,17,1
2019-07-06,12,1
2019-07-07,27,2
2019-07-10,92,4
2019-07-11,30,1
2019-07-12,18,4
2019-07-13,23,7
2019-07-14,10,6
2019-07-15,63,9
2019-07-16,1,1
2019-07-17,11,5
2019-07-18,5,2
2019-07-19,41,6
2019-07-20,69,12
2019-07-21,23,7
2019-07-22,11,2
2019-07-23,3,2
2019-07-24,5,3
2019-07-25,7,6
2019-07-26,8,6
2019-07-27,28,12
2019-07-28,32,9
2019-07-29,19,9
2019-07-30,12,6
2019-07-31,1,1
2019-08-01,8,6
2019-08-02,2,2
2019-08-03,6,4
2019-08-04,16,7
2019-08-05,5,4
2019-08-06,59,10
2019-08-07,7,5
2019-08-08,30,6
2019-08-09,23,7
2019-08-10,10,7
2019-08-11,7,4
2019-08-12,17,6
2019-08-13,83,4
2019-08-14,7,4
2019-08-15,17,8
2019-08-16,9,6
2019-08-17,58,19
2019-08-18,90,12
2019-08-19,88,14
2019-08-20,52,9
2019-08-21,71,11
2019-08-22,21,5
2019-08-23,10,7
2019-08-24,18,11
2019-08-25,9,3
2019-08-26,10,5
2019-08-27,34,8
2019-08-28,14,3
2019-08-29,3,3
2019-08-30,7,3
2019-08-31,10,3
2019-09-01,16,7
2019-09-02,25,7
2019-09-03,4,4
2019-09-04,6,6
2019-09-05,29,12
2019-09-06,26,4
2019-09-07,44,3
2019-09-08,4,3
2019-09-09,7,5
2019-09-10,16,4
2019-09-11,29,4
2019-09-12,48,11
2019-09-13,9,5
2019-09-14,29,2
2019-09-15,4,3
2019-09-16,15,10
2019-09-17,4,4
2019-09-18,5,3
2019-09-19,13,6
2019-09-20,2,2
2019-09-21,11,8
2019-09-22,19,9
2019-09-23,15,8
2019-09-24,52,9
2019-09-25,8,6
2019-09-26,21,11
2019-09-27,10,6
2019-09-28,26,11
